Individuo | Variable | Mascara | Original | Mutado | Noise | Lower | Upper
6         | 20       | 0       | -32.7486 | -32.7486 | 1.0455   | -400.0000 | 200.0000
6         | 21       | 0       | -6.0072  | -6.0072  | -1.2994  | -20.0000 | 0.0000  
6         | 22       | 1       | 405.0070 | 403.7827 | -1.2243  | -600.0000 | 600.0000
6         | 23       | 1       | 81.6866  | 81.1423  | -0.5443  | -400.0000 | 200.0000
6         | 24       | 0       | -0.7816  | -0.7816  | 0.1218   | -20.0000 | 0.0000  
6         | 25       | 0       | 42.6186  | 42.6186  | -0.7239  | -600.0000 | 600.0000
6         | 26       | 0       | -106.6701 | -106.6701 | 2.8852   | -400.0000 | 200.0000
6         | 27       | 1       | -16.2653 | -10.4884 | 5.7769   | -20.0000 | 0.0000  
6         | 28       | 0       | 0.0000   | 0.0000   | 1.0851   | -600.0000 | 600.0000
6         | 29       | 0       | 0.0000   | 0.0000   | -1.7396  | -400.0000 | 200.0000
6         | 30       | 0       | 0.0000   | 0.0000   | 0.7760   | -20.0000 | 0.0000  

7         | 1        | 0       | 0.0000   | 0.0000   | -1.3228  | -600.0000 | 600.0000
7         | 2        | 0       | 0.0000   | 0.0000   | -2.1033  | -400.0000 | 200.0000
7         | 3        | 0       | 0.0000   | 0.0000   | -0.9674  | -20.0000 | 0.0000  
7         | 4        | 0       | -69.2442 | -69.2442 | 1.5944   | -600.0000 | 600.0000
7         | 5        | 0       | -336.6012 | -336.6012 | -0.3045  | -400.0000 | 200.0000
7         | 6        | 0       | -7.1835  | -7.1835  | 1.9822   | -20.0000 | 0.0000  
7         | 7        | 0       | 558.9733 | 558.9733 | 1.9400   | -600.0000 | 600.0000
7         | 8        | 0       | -62.0853 | -62.0853 | -0.4745  | -400.0000 | 200.0000
7         | 9        | 1       | -13.0545 | -9.8148  | 3.2397   | -20.0000 | 0.0000  
7         | 10       | 1       | 321.9281 | 321.6460 | -0.2821  | -600.0000 | 600.0000
7         | 11       | 0       | -149.3399 | -149.3399 | 1.8821   | -400.0000 | 200.0000
7         | 12       | 0       | -12.9892 | -12.9892 | -0.5140  | -20.0000 | 0.0000  
7         | 13       | 1       | -538.9377 | -538.4848 | 0.4529   | -600.0000 | 600.0000
7         | 14       | 0       | -70.6848 | -70.6848 | -1.8180  | -400.0000 | 200.0000
7         | 15       | 0       | -10.1541 | -10.1541 | -2.5871  | -20.0000 | 0.0000  
7         | 16       | 1       | -231.8360 | -235.5133 | -3.6773  | -600.0000 | 600.0000
7         | 17       | 0       | -188.6884 | -188.6884 | 5.5224   | -400.0000 | 200.0000
7         | 18       | 0       | -7.5742  | -7.5742  | -0.7075  | -20.0000 | 0.0000  
7         | 19       | 1       | -214.6054 | -208.8833 | 5.7221   | -600.0000 | 600.0000
7         | 20       | 0       | -271.0507 | -271.0507 | 1.5138   | -400.0000 | 200.0000
7         | 21       | 0       | -8.8240  | -8.8240  | 0.3835   | -20.0000 | 0.0000  
7         | 22       | 0       | 447.5350 | 447.5350 | 1.8436   | -600.0000 | 600.0000
7         | 23       | 0       | 39.3349  | 39.3349  | 0.8140   | -400.0000 | 200.0000
7         | 24       | 0       | -1.8048  | -1.8048  | 3.9441   | -20.0000 | 0.0000  
7         | 25       | 1       | 187.9387 | 190.5514 | 2.6128   | -600.0000 | 600.0000
7         | 26       | 0       | 14.1549  | 14.1549  | 0.1603   | -400.0000 | 200.0000
7         | 27       | 1       | -3.0161  | -2.7303  | 0.2857   | -20.0000 | 0.0000  
7         | 28       | 0       | 0.0000   | 0.0000   | -1.1148  | -600.0000 | 600.0000
7         | 29       | 0       | 0.0000   | 0.0000   | -1.2720  | -400.0000 | 200.0000
7         | 30       | 0       | 0.0000   | 0.0000   | -5.8051  | -20.0000 | 0.0000  

8         | 1        | 0       | 0.0000   | 0.0000   | 3.0496   | -600.0000 | 600.0000
8         | 2        | 0       | 0.0000   | 0.0000   | 1.3116   | -400.0000 | 200.0000
8         | 3        | 0       | 0.0000   | 0.0000   | -3.0105  | -20.0000 | 0.0000  
8         | 4        | 0       | -101.0699 | -101.0699 | 1.6458   | -600.0000 | 600.0000
8         | 5        | 0       | -142.6334 | -142.6334 | 0.4400   | -400.0000 | 200.0000
8         | 6        | 0       | -9.1819  | -9.1819  | 0.0845   | -20.0000 | 0.0000  
8         | 7        | 0       | 44.5279  | 44.5279  | -1.4625  | -600.0000 | 600.0000
8         | 8        | 0       | -47.8953 | -47.8953 | -0.1176  | -400.0000 | 200.0000
8         | 9        | 0       | -4.4208  | -4.4208  | -0.6678  | -20.0000 | 0.0000  
8         | 10       | 0       | 0.1353   | 0.1353   | 0.2544   | -600.0000 | 600.0000
8         | 11       | 0       | -156.0176 | -156.0176 | 0.3155   | -400.0000 | 200.0000
8         | 12       | 0       | -2.5895  | -2.5895  | -4.8088  | -20.0000 | 0.0000  
8         | 13       | 0       | -206.1203 | -206.1203 | -1.0356  | -600.0000 | 600.0000
8         | 14       | 0       | -127.6061 | -127.6061 | -0.0726  | -400.0000 | 200.0000
8         | 15       | 1       | -4.7511  | -7.9770  | -3.2259  | -20.0000 | 0.0000  
8         | 16       | 1       | -449.6623 | -446.9406 | 2.7217   | -600.0000 | 600.0000
8         | 17       | 0       | -282.1485 | -282.1485 | -2.8265  | -400.0000 | 200.0000
8         | 18       | 0       | -0.9711  | -0.9711  | -2.7092  | -20.0000 | 0.0000  
8         | 19       | 0       | -389.4100 | -389.4100 | -4.6575  | -600.0000 | 600.0000
8         | 20       | 0       | -59.3636 | -59.3636 | 2.8494   | -400.0000 | 200.0000
8         | 21       | 0       | -8.4137  | -8.4137  | 1.7412   | -20.0000 | 0.0000  
8         | 22       | 0       | -12.4506 | -12.4506 | 0.2674   | -600.0000 | 600.0000
8         | 23       | 0       | -13.1529 | -13.1529 | 0.7183   | -400.0000 | 200.0000
8         | 24       | 0       | -15.4035 | -15.4035 | -4.4686  | -20.0000 | 0.0000  
8         | 25       | 0       | 13.0299  | 13.0299  | 3.5327   | -600.0000 | 600.0000
8         | 26       | 1       | -148.4370 | -147.3452 | 1.0918   | -400.0000 | 200.0000
