X,Y
-8.520413008247865605e+01,-3.614166562660987836e+01
-8.511700380621209661e+01,-3.598109857079023044e+01
-8.503109839904244893e+01,-3.582111320390065856e+01
-8.494640665612496377e+01,-3.566170681206164517e+01
-8.486292135016499572e+01,-3.550287667352676380e+01
-8.478063523177533511e+01,-3.534462005884104485e+01
-8.469954102983133737e+01,-3.518693423099826845e+01
-8.461963145182667745e+01,-3.502981644559852015e+01
-8.454089918422876337e+01,-3.487326395100558329e+01
-8.446333689283248702e+01,-3.471727398850368473e+01
-8.438693722311479917e+01,-3.456184379245447502e+01
-8.431169280058816184e+01,-3.440697059045348993e+01
-8.423759623115341810e+01,-3.425265160348652671e+01
-8.416464010145290331e+01,-3.409888404608584267e+01
-8.409281697922173748e+01,-3.394566512648580670e+01
-8.402211941363998449e+01,-3.379299204677871415e+01
-8.395253993568334749e+01,-3.364086200307005470e+01
-8.388407105847370815e+01,-3.348927218563372321e+01
-8.381670527762946676e+01,-3.333821977906695366e+01
-8.375043507161429091e+01,-3.318770196244484083e+01
-8.368525290208657452e+01,-3.303771590947479098e+01
-8.362115121424746178e+01,-3.288825878865067409e+01
-8.355812243718864352e+01,-3.273932776340664930e+01
-8.349615898423984106e+01,-3.259091999227088365e+01
-8.343525325331499687e+01,-3.244303262901872387e+01
-8.337539762725856463e+01,-3.229566282282588219e+01
-8.331658447419098934e+01,-3.214880771842122442e+01
-8.325880614785336320e+01,-3.200246445623923108e+01
-8.320205498795220933e+01,-3.185663017257241592e+01
-8.314632332050246077e+01,-3.171130199972307295e+01
-8.309160345817102211e+01,-3.156647706615508042e+01
-8.303788770061903790e+01,-3.142215249664528187e+01
-8.298516833484355004e+01,-3.127832541243454401e+01
-8.293343763551925463e+01,-3.113499293137871859e+01
-8.288268786533829768e+01,-3.099215216809894358e+01
-8.283291127535068199e+01,-3.084980023413198680e+01
-8.278410010530338070e+01,-3.070793423808015632e+01
-8.273624658397889675e+01,-3.056655128576083769e+01
-8.268934292953356646e+01,-3.042564848035598146e+01
