Tiempo,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
,-641.882,24.509,670.351,969.127,8.0818,433.777,986.365
,-6.399,24.524,671.372,962.727,802.551,758.762,150.524
,-644.854,245.274,670.744,970.701,809.267,730.162,153.013
,nan,245.358,670.442,962.815,802.518,882.711,148.677
,-638.909,245.357,670.667,967.549,806.464,749.522,112.272
,-642.873,245.476,670.283,967.524,806.265,443.571,103.485
,-637.918,24.545,670.033,967.949,806.658,630.792,967.389
,-635.936,245.435,669.952,96.392,803.324,461.076,107.118
,-641.882,245.472,670.803,969.577,807.983,6.952,967.297
,-6.399,245.534,6.6967,968.707,807.165,628.755,926.322
,-642.873,245.531,6.662,965.225,804.268,486.173,994.903
,-642.873,245.649,664.381,965.504,804.325,5.5581,101.142
,-636.927,245.748,665.436,964.641,803.458,6.2596,100.888
,-636.927,245.717,665.722,966.096,804.716,530.578,958.847
,-641.882,245.867,664.803,966.997,805.243,299.302,947.615
,-644.854,245.885,667.201,962.556,801.518,624.544,923.657
,-635.936,245.927,665.984,967.047,805.194,713.951,980.978
,-6.399,245.822,663.712,962.479,801.547,nan,902.038
,-636.927,246.014,665.507,965.322,803.629,498.403,892.968
,-645.845,245.971,664.486,964.575,803.072,658.546,981.087
,-637.918,245.998,664.878,964.448,802.925,4.4087,102.668
,-637.918,246.059,666.739,962.723,801.399,567.511,103.568
,-647.827,246.172,665.241,961.916,800.779,481.605,929.427
,-640.891,246.172,665.241,960.276,799.195,587.651,978.234
,-634.945,nan,666.681,962.184,800.894,481.721,104.083
,-648.818,246.189,664.817,96.43,802.518,544.825,954.128
,-641.882,246.257,6.6451,965.621,803.516,513.817,956.903
,-642.873,246.262,664.018,962.758,801.127,505.852,895.961
,nan,246.325,662.627,959.492,798.315,565.105,906.062
,-643.863,246.255,662.067,961.349,799.965,712.164,921.932
,-641.882,246.378,663.247,965.817,8.035,523.413,86.496
,-643.863,246.364,666.869,966.981,804.489,5.0481,977.135
,-648.818,246.293,666.531,963.809,801.956,548.912,967.369
,-643.863,246.327,665.239,964.602,802.565,669.346,99.271
,-636.927,nan,663.069,96.538,803.267,649.686,879.215
,-632.963,246.359,667.927,96.251,800.776,623.009,965.058
,nan,246.342,666.793,962.259,800.592,593.028,940.725
,-644.854,24.63,669.899,nan,806.682,450.755,102.495
,-640.891,246.268,669.642,966.685,804.385,453.929,937.925
,-644.854,246.299,669.179,966.907,804.525,526.167,870.188
,-644.854,246.299,6.665,96.678,804.419,476.027,984.395
,-644.854,246.351,669.457,966.346,803.979,426.674,887.026
,-644.854,24.636,6.7045,967.431,804.868,408.496,nan
